serial,sex,race,labforce,empstat,statefip,year
5008,2,801,0,0,6,2021
5008,2,801,1,34,6,2021
5009,1,651,2,21,6,2021
5009,2,651,2,10,6,2021
5009,1,651,0,0,6,2021
5009,2,651,0,0,6,2021
5010,2,651,2,10,6,2021
5010,1,651,1,36,6,2021
5010,2,651,2,10,6,2021
5010,2,651,0,0,6,2021
5011,2,100,2,10,6,2021
5011,1,100,2,10,6,2021
5012,1,651,2,10,6,2021
5012,2,651,2,10,6,2021
5012,2,651,2,10,6,2021
5012,1,651,2,10,6,2021
5016,1,651,1,36,6,2021
5016,1,651,2,10,6,2021
5016,1,651,0,0,6,2021
5016,2,651,2,10,6,2021
5017,1,100,2,10,6,2021
5017,1,100,2,10,6,2021
5017,2,100,2,10,6,2021
5018,2,100,2,10,6,2021
5019,2,651,1,36,6,2021
5019,1,651,2,10,6,2021
5019,1,651,2,10,6,2021
5020,1,100,2,21,6,2021
5021,2,100,2,10,6,2021
5021,1,100,2,10,6,2021
5021,2,100,1,36,6,2021
5024,2,100,2,10,6,2021
5024,1,100,0,0,6,2021
5025,2,200,2,21,6,2021
5025,1,200,2,21,6,2021
5025,2,200,0,0,6,2021
5025,2,200,0,0,6,2021
5025,2,200,0,0,6,2021
5025,2,200,0,0,6,2021
5026,1,100,2,10,6,2021
5026,2,100,1,34,6,2021
5026,1,100,0,0,6,2021
5026,1,100,0,0,6,2021
5026,1,100,0,0,6,2021
5027,1,100,2,10,6,2021
5027,2,100,1,34,6,2021
5027,1,100,1,34,6,2021
5027,1,100,2,10,6,2021
5028,2,651,2,10,6,2021
5029,2,100,2,21,6,2021
5029,1,100,2,10,6,2021
5030,2,651,2,12,6,2021
5030,2,651,2,10,6,2021
5030,1,651,0,0,6,2021
5030,2,651,0,0,6,2021
5030,1,651,1,34,6,2021
5031,2,100,2,10,6,2021
5031,2,100,2,10,6,2021
5031,1,100,2,10,6,2021
5032,2,651,2,10,6,2021
5032,1,651,0,0,6,2021
5032,1,651,0,0,6,2021
5032,1,651,0,0,6,2021
5033,1,200,2,10,6,2021
5035,1,100,2,10,6,2021
5035,2,100,2,12,6,2021
5036,1,100,1,36,6,2021
5036,2,100,1,36,6,2021
5037,2,100,1,36,6,2021
5038,2,651,1,36,6,2021
5039,1,651,2,10,6,2021
5039,2,651,2,10,6,2021
5040,1,100,2,10,6,2021
5040,2,100,1,34,6,2021
5040,1,100,2,10,6,2021
5041,1,100,2,10,6,2021
5042,2,651,2,10,6,2021
5042,1,100,2,12,6,2021
5042,1,803,1,34,6,2021
5042,1,803,1,34,6,2021
5042,1,803,1,34,6,2021
5042,1,803,1,34,6,2021
5043,1,651,1,34,6,2021
5043,2,651,1,34,6,2021
5043,1,651,0,0,6,2021
5044,1,801,2,10,6,2021
5044,2,801,2,10,6,2021
5044,2,801,0,0,6,2021
5044,1,801,0,0,6,2021
5044,1,801,0,0,6,2021
5045,1,100,2,10,6,2021
5046,1,100,1,36,6,2021
5046,2,651,1,36,6,2021
5047,1,651,2,21,6,2021
5047,1,651,2,10,6,2021
5048,1,100,2,10,6,2021
5049,1,100,2,21,6,2021
5049,2,100,2,21,6,2021
5050,1,100,2,10,6,2021
5050,2,801,2,10,6,2021
5051,1,100,1,34,6,2021
5053,1,200,2,10,6,2021
5054,2,651,2,10,6,2021
5054,1,651,2,10,6,2021
5054,1,651,0,0,6,2021
5054,2,651,1,34,6,2021
5056,1,100,2,10,6,2021
5056,2,100,1,32,6,2021
5056,2,100,1,34,6,2021
5056,1,100,0,0,6,2021
5056,2,100,0,0,6,2021
5056,2,100,0,0,6,2021
5056,1,100,0,0,6,2021
5056,1,100,0,0,6,2021
5056,2,100,1,32,6,2021
5057,2,651,2,21,6,2021
5058,2,100,2,10,6,2021
5058,1,100,2,10,6,2021
5058,1,100,2,21,6,2021
5058,2,100,2,10,6,2021
5059,1,100,2,10,6,2021
5059,2,100,1,34,6,2021
5059,1,100,2,10,6,2021
5059,1,100,1,34,6,2021
5059,1,100,2,10,6,2021
5059,1,100,2,10,6,2021
5060,2,100,1,34,6,2021
5060,1,100,2,10,6,2021
5060,2,100,2,10,6,2021
5060,1,100,1,34,6,2021
5060,2,100,2,10,6,2021
5060,2,100,0,0,6,2021
5060,2,100,0,0,6,2021
5061,1,200,2,10,6,2021
5061,1,200,1,34,6,2021
5062,1,100,2,10,6,2021
5062,2,100,2,10,6,2021
5063,2,100,1,36,6,2021
5063,1,100,1,36,6,2021
5064,2,100,1,34,6,2021
5064,2,100,2,21,6,2021
5064,1,100,2,10,6,2021
5064,1,100,0,0,6,2021
5064,1,100,0,0,6,2021
5065,1,100,2,12,6,2021
5065,1,100,1,34,6,2021
5065,1,100,2,21,6,2021
5066,1,651,2,10,6,2021
5066,2,651,2,10,6,2021
5066,2,651,0,0,6,2021
5066,1,651,0,0,6,2021
5066,2,651,0,0,6,2021
5066,2,651,0,0,6,2021
5067,2,100,2,10,6,2021
5068,1,100,1,36,6,2021
5068,2,651,1,36,6,2021
5068,2,803,2,10,6,2021
5068,1,803,2,10,6,2021
5069,1,100,1,36,6,2021
5070,2,100,1,32,6,2021
5071,2,100,2,10,6,2021
5071,1,100,2,10,6,2021
5071,1,100,0,0,6,2021
5071,2,100,0,0,6,2021
5071,1,100,1,34,6,2021
5072,2,200,2,10,6,2021
5072,1,200,2,10,6,2021
5072,1,200,1,34,6,2021
5072,1,200,1,34,6,2021
5073,2,100,2,10,6,2021
5074,1,100,1,36,6,2021
5075,2,100,1,36,6,2021
5076,1,651,2,10,6,2021
5076,2,651,2,10,6,2021
5076,1,651,0,0,6,2021
5076,1,651,1,34,6,2021
5076,2,651,1,34,6,2021
5076,2,651,1,34,6,2021
5079,1,100,2,10,6,2021
5079,2,100,1,36,6,2021
5080,1,100,2,10,6,2021
5082,2,652,2,10,6,2021
5082,2,652,1,34,6,2021
5084,2,100,2,21,6,2021
5087,2,100,2,21,6,2021
5088,2,651,2,21,6,2021
5088,1,651,2,10,6,2021
